Package Name,Property Size,Price,What's Included,,
Essentials,Under 1500 sq.ft.,$279,"Professional Photography, 2-6 Drone Photos, Listing Website, Slideshow Video, Feature Sheet (PDF), Social Media Post (Square), Social Media Story (Vertical), Blue Sky Replacement",,
Essentials,1500-2500 sq.ft.,$329,"Professional Photography, 2-6 Drone Photos, Listing Website, Slideshow Video, Feature Sheet (PDF), Social Media Post (Square), Social Media Story (Vertical), Blue Sky Replacement",,
Essentials,2500-3500 sq.ft.,$379,"Professional Photography, 2-6 Drone Photos, Listing Website, Slideshow Video, Feature Sheet (PDF), Social Media Post (Square), Social Media Story (Vertical), Blue Sky Replacement",,
Essentials,3500-4500 sq.ft.,$429,"Professional Photography, 2-6 Drone Photos, Listing Website, Slideshow Video, Feature Sheet (PDF), Social Media Post (Square), Social Media Story (Vertical), Blue Sky Replacement",,
Essentials,4500-5500 sq.ft.,$479,"Professional Photography, 2-6 Drone Photos, Listing Website, Slideshow Video, Feature Sheet (PDF), Social Media Post (Square), Social Media Story (Vertical), Blue Sky Replacement",,
Essentials + 2D Floor Plans,Under 1500 sq.ft.,$349,Everything in Essentials + 2D Floor Plan (Color-coded + Black and white),,
Essentials + 2D Floor Plans,1500-2500 sq.ft.,$399,Everything in Essentials + 2D Floor Plan (Color-coded + Black and white),,
Essentials + 2D Floor Plans,2500-3500 sq.ft.,$449,Everything in Essentials + 2D Floor Plan (Color-coded + Black and white),,
Essentials + 2D Floor Plans,3500-4500 sq.ft.,$499,Everything in Essentials + 2D Floor Plan (Color-coded + Black and white),,
Essentials + 2D Floor Plans,4500-5500 sq.ft.,$549,Everything in Essentials + 2D Floor Plan (Color-coded + Black and white),,
Essentials + Matterport Tour,Under 1500 sq.ft.,$399,Everything in Essentials + 360 Virtual Tour,,
Essentials + Matterport Tour,1500-2500 sq.ft.,$449,Everything in Essentials + 360 Virtual Tour,,
Essentials + Matterport Tour,2500-3500 sq.ft.,$499,Everything in Essentials + 360 Virtual Tour,,
Essentials + Matterport Tour,3500-4500 sq.ft.,$549,Everything in Essentials + 360 Virtual Tour,,
Essentials + Matterport Tour,4500-5500 sq.ft.,$599,Everything in Essentials + 360 Virtual Tour,,
Essentials + Property Tour Video,Under 1500 sq.ft.,$479,Everything in Essentials + Property Tour Video (Drone Footage),,
Essentials + Property Tour Video,1500-2500 sq.ft.,$529,Everything in Essentials + Property Tour Video (Drone Footage),,
Essentials + Property Tour Video,2500-3500 sq.ft.,$579,Everything in Essentials + Property Tour Video (Drone Footage),,
Essentials + Property Tour Video,3500-4500 sq.ft.,$629,Everything in Essentials + Property Tour Video (Drone Footage),,
Essentials + Property Tour Video,4500-5500 sq.ft.,$679,Everything in Essentials + Property Tour Video (Drone Footage),,
Marketing Pro,Under 1500 sq.ft.,$679,"Everything in Essentials + Enhanced Twilight Listing Image + 360 Virtual Tour, Property Highlights Video, 2D Floor Plan (Color-coded + Blk and white, Full Aerial Coverage (Additional Drone Images + Footage) + Custom Domain Name",,
Marketing Pro,1500-2500 sq.ft.,$729,"Everything in Essentials + Enhanced Twilight Listing Image + 360 Virtual Tour, Property Highlights Video, 2D Floor Plan (Color-coded + Blk and white, Full Aerial Coverage (Additional Drone Images + Footage) + Custom Domain Name",,
Marketing Pro,2500-3500 sq.ft.,$779,"Everything in Essentials + Enhanced Twilight Listing Image + 360 Virtual Tour, Property Highlights Video, 2D Floor Plan (Color-coded + Blk and white, Full Aerial Coverage (Additional Drone Images + Footage) + Custom Domain Name",,
Marketing Pro,3500-4500 sq.ft.,$829,"Everything in Essentials + Enhanced Twilight Listing Image + 360 Virtual Tour, Property Highlights Video, 2D Floor Plan (Color-coded + Blk and white, Full Aerial Coverage (Additional Drone Images + Footage) + Custom Domain Name",,
Marketing Pro,4500-5500 sq.ft.,$879,"Everything in Essentials + Enhanced Twilight Listing Image + 360 Virtual Tour, Property Highlights Video, 2D Floor Plan (Color-coded + Blk and white, Full Aerial Coverage (Additional Drone Images + Footage) + Custom Domain Name",,
Top Agent,Under 1500 sq.ft.,$799,"Everything in Marketing Pro + Agent on video, 2 Additional Twilight Images, Social Media Reel Video, Extra social media content, 2D + 3D Floor Plan",,
Top Agent,1500-2500 sq.ft.,$849,"Everything in Marketing Pro + Agent on video, 2 Additional Twilight Images, Social Media Reel Video, Extra social media content, 2D + 3D Floor Plan",,
Top Agent,2500-3500 sq.ft.,$899,"Everything in Marketing Pro + Agent on video, 2 Additional Twilight Images, Social Media Reel Video, Extra social media content, 2D + 3D Floor Plan",,
Top Agent,3500-4500 sq.ft.,$949,"Everything in Marketing Pro + Agent on video, 2 Additional Twilight Images, Social Media Reel Video, Extra social media content, 2D + 3D Floor Plan",,
Top Agent,4500-5500 sq.ft.,$999,"Everything in Marketing Pro + Agent on video, 2 Additional Twilight Images, Social Media Reel Video, Extra social media content, 2D + 3D Floor Plan",,
,,,,,
Service Name,Under 1500 sq.ft.,1500-2500 sq.ft.,2500-3500 sq.ft.,3500-4500 sq.ft.,4500-5500 sq.ft.
HDR Photography,$169.00,$229.00,$289.00,$349.00,$409.00
360 Virtual Tour (Matterport),$199.00,$239.00,$279.00,$319.00,$359.00
Property Highlights Video,$289.00,$309.00,$329.00,$349.00,$369.00
Slideshow Video,$99.00,$99.00,$99.00,$99.00,$99.00
Social Media Reel,$229.00,$249.00,$269.00,$289.00,$309.00
Drone Aerial Photos,$159.00,$159.00,$159.00,$159.00,$159.00
Drone Aerial Video,$159.00,$159.00,$159.00,$159.00,$159.00
Drone Photos + Video,$199.00,$199.00,$199.00,$199.00,$199.00
2D Floor Plans,$119.00,$149.00,$179.00,$209.00,$239.00
3D House Model,$159.00,$199.00,$239.00,$279.00,$319.00
Property Website,$129.00,$129.00,$129.00,$129.00,$129.00
Custom Domain Name,$39.00,$39.00,$39.00,$39.00,$39.00
Virtual Declutter,29/image,29/image,29/image,29/image,29/image
Virtual Staging,39/image,39/image,39/image,39/image,39/image
Virtual Twilight,49/image,49/image,49/image,49/image,49/image
